.	O
CENTIMETER	O
TO	O
DECIMETER	O
SIZE	O
SPHERICAL	O
AND	O
CYLINDRICAL	O
FEATURES	O
IN	O
GALE	O
CRATER	O
SEDIMENTS	O
R.C.	O
Wiens1	O
,	O
S.	O
Maurice2	O
,	O
O.	O
Gasnault2	O
,	O
S.	O
Clegg1	O
,	O
C.	O
Fabre3	O
,	O
M.	O
Nachon4	O
,	O
D.	O
Rubin5	O
,	O
W.	O
Goetz6	O
,	O
N.	O
Mangold4	O
,	O
S.	O
Schröder2	O
,	O
W.	O
Rapin2	O
,	O
R.	O
Milliken7	O
,	O
A.G.	O
Fairén8	O
,	O
D.	O
Oehler9	O
,	O
O.	O
Forni2	O
,	O
V.	O
Sautter10	O
,	O
D.	O
Blaney11	O
,	O
S.	O
Le	O
Mouelic4	O
,	O
R.B.	O
Anderson12	O
,	O
A.	O
Cousin2	O
,	O
A.	O
Vasavada11	O
,	O
J.	O
Grotzinger13	O
,	O
and	O
the	O
MSL	O
Science	O
Team	O
-LRB-	O
1LANL	O
;	O
rwiens@lanl.gov,	O
2IRAP/CNRS	O
,	O
Georessources3	O
,	O
LPGN4	O
,	O
5UCSC	O
,	O
6MPS	O
,	O
7Brown	O
,	O
8CAB	O
,	O
9Jacobs	O
LZ	O
,	O
10MNHN	O
,	O
11JPL/Caltech	O
,	O
12USGS	O
Flagstaff	O
,	O
13Caltech	O
-RRB-	O
Overview	O
:	O
The	O
Curiosity	O
rover	O
traverse	O
in	O
Gale	O
crater	O
has	O
explored	O
a	O
large	O
series	O
of	O
sedimentary	O
deposits	O
in	O
an	O
ancient	O
lake	O
on	O
Mars	O
.	O
Over	O
the	O
nine	O
kilometers	O
of	O
traverse	O
a	O
recurrent	O
observation	O
has	O
been	O
southward-dipping	O
sedimentary	O
strata	O
,	O
from	O
Shaler	O
at	O
the	O
edge	O
of	O
Yellowknife	O
Bay	O
to	O
the	O
striated	O
units	O
near	O
the	O
Kimberley	O
-LSB-	O
1	O
-RSB-	O
.	O
Within	O
the	O
sedimentary	O
strata	O
cm	O
-	O
to	O
decimeter-size	O
hollow	O
spheroidal	O
objects	O
and	O
some	O
apparent	O
cylindrical	O
objects	O
have	O
been	O
observed	O
.	O
These	O
features	O
have	O
not	O
been	O
seen	O
by	O
previous	O
landed	O
missions	O
.	O
The	O
first	O
of	O
these	O
were	O
observed	O
on	O
sol	O
122	O
in	O
the	O
Gillespie	O
Lake	O
member	O
at	O
Yellowknife	O
Bay	O
-LRB-	O
Fig.	O
1	O
-RRB-	O
.	O
Additional	O
hollow	O
features	O
were	O
observed	O
in	O
the	O
Point	O
Lake	O
outcrop	O
in	O
the	O
same	O
area	O
.	O
More	O
recently	O
a	O
spherical	O
and	O
apparently	O
hollow	O
object	O
,	O
Winnipesaukee	Target
,	O
was	O
observed	O
by	O
ChemCam	O
and	O
Mastcam	O
on	O
sol	O
653	O
.	O
Here	O
we	O
describe	O
the	O
settings	O
,	O
morphology	O
,	O
and	O
associated	O
compositions	O
,	O
and	O
we	O
discuss	O
possible	O
origins	O
of	O
these	O
objects	O
.	O
Fig.	O
1	O
.	O
Hollow	O
spherical	O
feature	O
observed	O
on	O
sol	O
122	O
in	O
the	O
Yellowknife	O
Bay	O
area	O
.	O
The	O
visible	O
portion	O
is	O
16	O
cm	O
in	O
diameter	O
.	O
Settings	O
and	O
Morphologies	O
:	O
The	O
first	O
several	O
such	O
features	O
were	O
observed	O
in	O
the	O
Gillespie	O
Lake	O
member	O
-LSB-	O
2	O
-RSB-	O
,	O
one	O
named	O
Tochatwi	Target
-LRB-	O
Fig.	O
1	O
-RRB-	O
and	O
one	O
near	O
the	O
ChemCam	O
target	O
Kahochella	Target
-LRB-	O
sol	O
124	O
;	O
not	O
shown	O
-RRB-	O
.	O
On	O
a	O
Navcam	O
mosaic	O
several	O
of	O
these	O
objects	O
can	O
be	O
seen	O
in	O
a	O
line	O
at	O
regular	O
1-2	O
m	O
intervals	O
.	O
They	O
appear	O
darker	O
than	O
the	O
surrounding	O
material	O
and	O
are	O
hollow	O
.	O
No	O
such	O
features	O
were	O
observed	O
across	O
Bradbury	O
Rise	O
,	O
which	O
is	O
covered	O
with	O
alluvial	O
material	O
.	O
Winnipesaukee	Target
:	O
Another	O
feature	O
-LRB-	O
Fig.	O
2	O
-RRB-	O
was	O
observed	O
by	O
ChemCam	O
and	O
Mastcam	O
south	O
of	O
the	O
Kimberley	O
and	O
before	O
reaching	O
Hidden	O
Valley	O
.	O
Winnipesaukee	Target
is	O
hollow	O
,	O
spherical	O
,	O
and	O
clearly	O
darker	O
than	O
the	O
surrounding	O
sediments	O
,	O
similar	O
to	O
the	O
sol	O
122	O
objects	O
.	O
The	O
overall	O
dimension	O
is	O
approximately	O
38	O
mm	O
across	O
.	O
The	O
walls	O
are	O
~	O
2-3	O
mm	O
thick	O
.	O
The	O
outer	O
surface	O
is	O
irregular	O
and	O
is	O
flecked	O
with	O
lighter-toned	O
grains	O
.	O
The	O
host	O
rock	O
is	O
light-toned	O
and	O
appears	O
to	O
contain	O
some	O
darker	O
clasts	O
,	O
some	O
of	O
which	O
appear	O
angular	O
.	O
The	O
darkertoned	O
pebbles	O
nearby	O
may	O
be	O
related	O
to	O
these	O
darker	O
clasts	O
,	O
potentially	O
having	O
weathered	O
out	O
of	O
the	O
rock	O
.	O
Of	O
the	O
1x10	O
LIBS	O
raster	O
the	O
1st	O
,	O
9th	O
,	O
and	O
10th	O
points	O
-LRB-	O
right	O
to	O
left	O
,	O
Fig.	O
2	O
-RRB-	O
appear	O
to	O
have	O
hit	O
host	O
rock	O
,	O
the	O
2nd	O
point	O
may	O
have	O
hit	O
a	O
pebble	O
,	O
and	O
the	O
4th	O
and	O
5th	O
points	O
interrogate	O
soil	O
inside	O
of	O
the	O
feature	O
.	O
Investigation	O
of	O
shot-to-shot	O
trends	O
shows	O
that	O
all	O
30	O
shots	O
of	O
point	O
5	O
interrogate	O
soil	O
,	O
but	O
only	O
the	O
first	O
few	O
shots	O
of	O
point	O
4	O
are	O
in	O
soil	O
and	O
the	O
last	O
few	O
shots	O
apparently	O
sample	O
the	O
interior	O
of	O
the	O
feature	O
.	O
The	O
6th-8th	O
points	O
clearly	O
hit	O
the	O
outside	O
of	O
the	O
spheroid	O
.	O
Compositions	O
determined	O
by	O
ChemCam	O
LIBS	O
using	O
PLS1	O
-LSB-	O
3	O
-RSB-	O
-LRB-	O
Table	O
1	O
-RRB-	O
confirm	O
that	O
the	O
host	O
rock	O
is	O
high	O
in	O
Si	Element
,	O
Al	Element
,	O
and	O
alkalis	O
,	O
consistent	O
with	O
its	O
light	O
tone	O
.	O
The	O
compositions	O
of	O
points	O
6-8	O
-LRB-	O
Fig.	O
2	O
,	O
rt	O
to	O
left	O
,	O
red	O
circles	O
-RRB-	O
on	O
the	O
exterior	O
of	O
the	O
feature	O
itself	O
are	O
high	O
in	O
FeOT	O
-LRB-	O
13-18	O
wt	O
%	O
-RRB-	O
and	O
have	O
moderate	O
SiO2	O
-LRB-	O
48-52	O
wt	O
%	O
-RRB-	O
,	O
however	O
the	O
compositions	O
of	O
Ca	Element
,	O
Mg	Element
,	O
Al	Element
,	O
Ti	Element
,	O
and	O
K	Element
are	O
variable	O
,	O
with	O
up	O
to	O
3.2	O
wt	O
%	O
K2O	O
in	O
point	O
#	O
6	O
and	O
up	O
to	O
14	O
wt	O
%	O
CaO	O
in	O
point	O
#	O
8	O
.	O
The	O
last	O
ten	O
shots	O
of	O
point	O
4	O
,	O
which	O
likely	O
sampled	O
the	O
interior	O
of	O
the	O
spheroid	O
,	O
are	O
richer	O
in	O
Na2O	O
and	O
display	O
a	O
strong	O
H	Element
peak	O
,	O
and	O
are	O
slightly	O
poorer	O
in	O
FeOT	O
than	O
the	O
range	O
observed	O
on	O
the	O
exterior	O
sampled	O
by	O
points	O
6-8	O
.	O
The	O
points	O
sampling	O
the	O
exterior	O
all	O
display	O
hydration	O
,	O
but	O
at	O
a	O
lower	O
level	O
than	O
the	O
interior	O
surface	O
.	O
It	O
is	O
not	O
clear	O
if	O
the	O
increased	O
H	Element
in	O
the	O
interior	O
surface	O
is	O
due	O
to	O
being	O
covered	O
by	O
hydrated	O
soil	O
or	O
whether	O
this	O
hydration	O
is	O
inherent	O
in	O
the	O
material	O
.	O
On	O
the	O
other	O
hand	O
,	O
the	O
sodium	Element
enrichment	O
on	O
the	O
interior	O
surface	O
is	O
clear	O
;	O
there	O
is	O
no	O
obvious	O
association	O
of	O
this	O
Na	Element
with	O
enrichments	O
of	O
other	O
elements	O
,	O
but	O
given	O
the	O
relatively	O
low	O
sensitivity	O
of	O
ChemCam	O
to	O
chlorine	Element
,	O
an	O
association	O
with	O
Cl	Element
could	O
not	O
be	O
ruled	O
out	O
.	O
Discussion	O
:	O
Winnipesaukee	Target
is	O
hollow	O
and	O
Ca	Element
-	O
and	O
iron-rich	Element
,	O
unlike	O
the	O
composition	O
of	O
the	O
host	O
rock	O
.	O
It	O
is	O
not	O
clear	O
if	O
these	O
objects	O
are	O
a	O
Mars	O
equivalent	O
of	O
geodes	O
,	O
in	O
which	O
an	O
iron-rich	Element
fluid	O
precipitates	O
into	O
a	O
void	O
left	O
by	O
a	O
bubble	O
of	O
gas	O
or	O
volatile-rich	O
material	O
.	O
Winnipesaukee	Target
appears	O
to	O
contain	O
light-toned	O
flecks	O
;	O
given	O
the	O
variability	O
of	O
Ca	Element
in	O
observation	O
points	O
6-8	O
,	O
these	O
could	O
contain	O
Ca	Element
enrichments	O
.	O
The	O
difference	O
in	O
composition	O
between	O
the	O
rounded	O
feature	O
and	O
the	O
host	O
rock	O
rules	O
out	O
any	O
possibility	O
that	O
these	O
features	O
are	O
part	O
of	O
gas-enriched	O
lava	O
flows	O
,	O
in	O
which	O
case	O
the	O
composition	O
of	O
the	O
host	O
rock	O
and	O
the	O
rounded	O
feature	O
would	O
be	O
similar	O
.	O
Other	O
Hollow	O
Rounded	O
Features	O
:	O
A	O
number	O
of	O
hollow	O
features	O
were	O
also	O
observed	O
weathering	O
out	O
of	O
the	O
Point	O
Lake	O
outcrop	O
in	O
Yellowknife	O
Bay	O
,	O
near	O
the	O
sol	O
122	O
feature	O
-LRB-	O
Fig.	O
1	O
-RRB-	O
.	O
However	O
,	O
a	O
number	O
of	O
these	O
were	O
more	O
irregular	O
in	O
shape	O
with	O
walls	O
of	O
variable	O
thicknesses	O
,	O
often	O
blending	O
into	O
the	O
surrounding	O
rock	O
;	O
some	O
contained	O
erosion-resistant	O
features	O
in	O
the	O
interiors	O
.	O
Pillow	O
lavas	O
were	O
suggested	O
as	O
a	O
possible	O
origin	O
of	O
these	O
features	O
,	O
but	O
overall	O
the	O
outcrop	O
displays	O
characteristics	O
that	O
are	O
more	O
consistent	O
with	O
a	O
sedimentary	O
origin	O
-LSB-	O
2	O
-RSB-	O
.	O
Within	O
the	O
latter	O
context	O
these	O
features	O
are	O
also	O
suggested	O
to	O
originate	O
as	O
gas	O
bubbles	O
within	O
sediments	O
.	O
Larger	O
and	O
thicker-walled	O
features	O
have	O
also	O
been	O
seen	O
.	O
The	O
largest	O
of	O
these	O
was	O
the	O
Tappers	Target
``	O
fire	O
ring	O
''	O
-LRB-	O
